comment,label,BATTERY,CAMERA,DESIGN,FEATURES,GENERAL,PERFORMANCE,PRICE,SCREEN,SER&ACC,STORAGE
em xài gần 48 tiếng bây h nó vẫn còn pin em dùng tiktok youtube facebook game message đủ thứ sạc nhanh chơi game rất đã tay nên mua em này,{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};,1,0,0,0,1,1,0,0,0,0
dùng được 1 tháng thì lỗi máy_ảnh trầm_trọng phải khởi_động lại mới dùng được quá bất_tiện quá phí tiền,{CAMERA#Negative};{PRICE#Negative};{GENERAL#Negative};,0,2,0,0,2,0,2,0,0,0
cái này có chống nước với chống bụi không cái này với cái s10 lite cái nào xài ngon hơn,{OTHERS};,0,0,0,0,0,0,0,0,0,0
máy nhìn_chung ok chip mạnh chụp hình đẹp sắc siêu nhanh máy năng cầm_chắc tay ai bình_luận sao chứ mình thấy quá tuyệt_vời không có điểm trừ sở,{CAMERA#Positive};{PERFORMANCE#Positive};{DESIGN#Positive};{GENERAL#Positive};,0,1,1,0,1,1,0,0,0,0
mới mua về dùng đã lắm loa to dùng mượt chơi game thì hết chê luôn nói chung là ok,{FEATURES#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};,0,0,0,1,1,1,0,0,0,0
xài 2 ngày chưa hết pin tìm điểm chê khó luôn không có ghi_âm cuộc_gọi,{FEATURES#Negative};{BATTERY#Positive};{GENERAL#Positive};,1,0,0,2,1,0,0,0,0,0
sản_phẩm tệ không như mô_tả nhiều lỗi nhỏ nói nhân_viên chỉ hoài mà không hết cảm_thấy không đáng mua,{GENERAL#Negative};{SER&ACC#Negative};,0,0,0,0,2,0,0,0,2,0
có hiện_tượng tự khởi_động lại gọi điện_thoại bĩ rè vọng lẫn tạp_âm bên ngoài quá lớn,{FEATURES#Negative};{PERFORMANCE#Negative};,0,0,0,2,0,2,0,0,0,0
camera chụp đẹp nhân_viên phục_vụ nhiệt_tình vui vẽ tiếc cái bộ quà tặng không có liên phải đợi,{CAMERA#Positive};{SER&ACC#Neutral};,0,1,0,0,0,0,0,0,3,0
sản_phẩm dùng rất tốt trong tầm giá tầm 2tr các tác_vụ rất tốt không thua gì các máy tầm trung khác,{FEATURES#Negative};{PRICE#Neutral};{GENERAL#Positive};,0,0,0,2,1,0,3,0,0,0
iphone là 1 đẳng_cấp hàng chính hãng thế_giới di_động bảo_hành rất là tuyệt_vời mua hàng điện_thoại ở thế_giới di_động mình rất yên_tâm cảm_ơn,{SER&ACC#Positive};,0,0,0,0,0,0,0,0,1,0
rất tuyệt vời pin camera mạng v v rất ok có lẽ máy này sứng đáng với giá mua không hối_hận chút nào,{CAMERA#Positive};{FEATURES#Positive};{BATTERY#Positive};{PRICE#Positive};{GENERAL#Positive};,1,1,0,1,1,0,1,0,0,0
sau 2 ngày trải_nghiệm thấy máy tốt trong tầm giá mượt pin 6p tụt 1 chỉ dùng các tác_vụ bình_thường không chơi game có được không mọi người kh hài_lòng lắm camera nét bắt wifi khoẻ,{CAMERA#Positive};{FEATURES#Positive};{BATTERY#Negative};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};,2,1,0,1,1,1,3,0,0,0
không nóng nhưng mau hết pin bắt wife khá yếu dùng được nửa tháng thấy ổn nhưng bắt wife chán quá chán,{FEATURES#Negative};{BATTERY#Negative};{PERFORMANCE#Neutral};{GENERAL#Positive};,2,0,0,2,1,3,0,0,0,0
pin quá tệ xạc đầy 100 để 4g và lâu_lâu check fb zalo trong vòng 7 tiếng đồng_hồ rớt 50 pin bó_tay thất_vọng về điện_thoại này khuyên không nên mua,{BATTERY#Negative};{GENERAL#Negative};,2,0,0,0,2,0,0,0,0,0
sản_phẩm chụp hình rất đẹp máy dùng mượt chơi game ổn nói_chung rất ok nè,{CAMERA#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};,0,1,0,0,1,1,0,0,0,0
mới mua chưa được 1 tháng tụt 2 pin chỉ nghe gọi thỉnh_thoảng youtube còn lại ok,{BATTERY#Negative};{GENERAL#Positive};,2,0,0,0,1,0,0,0,0,0
5 sao máy đẹp camera được game ngon có_thể nói là máy phân khúc giá 2990 máy này là trùm quá ngon khi mua về t thấy âm_thanh trong game my tom nghe cứ ừư mặc_dù vậy máy ngon tích_cực,{CAMERA#Positive};{DESIGN#Positive};{PRICE#Neutral};{GENERAL#Positive};{OTHERS};,0,1,1,0,1,0,3,0,0,0
đã mua xài được tháng nói_chung là hài_lòng vì không chơi game mua vì độ lạ độc sang pin lâu màn ság đẹp chụp ảnh ok,{SCREEN#Positive};{CAMERA#Positive};{BATTERY#Positive};{DESIGN#Positive};{GENERAL#Positive};,1,1,1,0,1,0,0,1,0,0
sản_phẩm rất tốt đặc_biệt camera pin trâu quá tuyêt vời so với tầm giá so với a51 thì ok hơn,{CAMERA#Positive};{BATTERY#Positive};{PRICE#Neutral};{GENERAL#Positive};,1,1,0,0,1,0,3,0,0,0
cũng có thẩm khảo trước khi mua sau khi mua về sử_dụng được 2 tuần thì mình cảm_thấy rất hài_lòng với sản_phẩm và với tầm giá 3 3 triệu,{PRICE#Neutral};{GENERAL#Positive};{OTHERS};,0,0,0,0,1,0,3,0,0,0
không biết các bạn thì sao chứ mình thấy nếu ai thích chụp ảnh thì nên chọn con này,{CAMERA#Positive};,0,1,0,0,0,0,0,0,0,0
mua 1 cái về làm điện_thoại phụ phát 4g cũng tốt rặc đi thêm cái màn_hình lớn tiện xem youtube cho con_cái,{SCREEN#Positive};{FEATURES#Positive};,0,0,0,1,0,0,0,1,0,0
dùng hơn 1 tháng và giờ xảy ra lỗi jack cắm tai nghe không cắm nó vẫn hiển_thị cắm không nghe nhạc hay gì được,{DESIGN#Negative};,0,0,2,0,0,0,0,0,0,0
mê nhất táo khuyết thích nhất củ xạc xạc rất nhanh mà không hề nóng lên tí nào hàng thì khỏi chê,{BATTERY#Positive};{GENERAL#Positive};{SER&ACC#Positive};,1,0,0,0,1,0,0,0,1,0
mua được 2 tháng dùng máy rất ok pin khoẻ với giá này cấu_hình máy ok cho 5 sao ạ,{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};,1,0,0,0,1,1,3,0,0,0
mua được 10 ngày đánh_giá chung máy ok pin kém chơi liên_quân bị giật và tự văng ra một lần theo_dõi thêm mấy ngày nếu vẫn bị văng ra thì đổi ngay,{BATTERY#Negative};{PERFORMANCE#Negative};{GENERAL#Positive};,2,0,0,0,1,2,0,0,0,0
mới mua hôm_qua dùng rất mượt cảm_ứng vân tay rất tốt nhưng camera trước thì trắng_bệch đáng với giá tiền,{CAMERA#Negative};{FEATURES#Positive};{PERFORMANCE#Positive};{PRICE#Positive};,0,2,0,1,0,1,1,0,0,0
tôi mới mua 1 chiếc vsmart bee dùng được vài hôm như gì mới_đầu thì tạm nhưng dùng tầm 1 tuần cảm_ứng loạn tùng_phèo ứch chế đập luôn,{FEATURES#Negative};,0,0,0,2,0,0,0,0,0,0
điện_thoại này xài ngon hợp với tui tiền nữa pin cũng trâu mình chơi game 4 g khoảng 10 tiếng mới hết pin chụp hình cũng tạm ổn các bạn nên mua xài,{CAMERA#Neutral};{BATTERY#Positive};{PRICE#Positive};{GENERAL#Positive};,1,3,0,0,1,0,1,0,0,0
mình mới mua được 10 tiếng đánh_giá thì bin tuột hơi nhanh không trâu như mình nghĩ xài ổn chụp hình 48 mp xấu ngang con camera 16 mp loa nằm vị_trí khó cho những game thủ,{CAMERA#Negative};{BATTERY#Negative};{DESIGN#Negative};{GENERAL#Positive};,2,2,2,0,1,0,0,0,0,0
mua máy để chơi ark mobil mà không chơi đc lâu_lâu màn_hình hay bị đơ và chớp_chớp,{PERFORMANCE#Negative};,0,0,0,0,0,2,0,0,0,0
nó còn bị nhiệt khi chơi game nữa không và nó chơi game ngon hơn realme 5 pro không mong cửa_hàng trả_lời,{OTHERS};,0,0,0,0,0,0,0,0,0,0
mua được gần 1 tháng giờ máy có hơi chậm chơi pubg lag liên_tục còn lại mọi thứ khá ổn,{PERFORMANCE#Negative};{GENERAL#Positive};,0,0,0,0,1,2,0,0,0,0
mở khoá bằng vân tay quá chán không bằng mấy con tàu khựa cam tạm được pin cũng ok,{CAMERA#Neutral};{FEATURES#Negative};{BATTERY#Neutral};,3,3,0,2,0,0,0,0,0,0
máy ngon chơi game mượt khỏi bàn pin ổn chơi hơn 20p mà hao có 7 phần_trăm pin,{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};,1,0,0,0,1,1,0,0,0,0
mới mua hôm_qua nghe bảo không có gg lúc đâu nghỉ sẽ dỏm lắm không ngờ khi cài được tất_cả fb zalo youtube thì xài khá la mươt luôn quá ngon luôn tặng sạc dự_phòng nữa chứ tuyệt,{PERFORMANCE#Positive};{GENERAL#Positive};{SER&ACC#Positive};,0,0,0,0,1,1,0,0,1,0
may sai chua 1 nam di trung tam bao hanh 3lan sac không vao hu mic pin nhanh het nan,{BATTERY#Negative};{GENERAL#Negative};,2,0,0,0,2,0,0,0,0,0
máy pin rất trâu cấu_hình rất mượt chơi game không cảm_giác giật gì cả mọi thứ ok cho 5 sao,{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};,1,0,0,0,1,1,0,0,0,0
cảm_nhận cua mình thì xài mọi thứ ok còn lại chán mỗi cái bắt wifi lúc được lúc không có ai giống minh không,{FEATURES#Negative};{GENERAL#Positive};,0,0,0,2,1,0,0,0,0,0
máy đẹp pin trâu sạc hơi lâu và nhanh nóng gần camera nhân_viên tư_vấn nhiệt_tình,{BATTERY#Neutral};{DESIGN#Positive};{SER&ACC#Positive};,3,0,1,0,0,0,0,0,1,0
máy tốt hơn mình nghĩ chụp hình đẹp game bao thắng cấu_hình quá khủng tốt,{CAMERA#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};,0,1,0,0,1,1,0,0,0,0
điện_thoại samsung galaxy a10s mình mới mua về xài chưa được 2 tuần khi lướt bị đứng nhảy mh nhờ đến ktv tại đm kt 3 lần nhưng không khả_dụng thất_vọng quá đi,{FEATURES#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};{SER&ACC#Negative};,0,0,0,2,2,2,0,0,2,0
camera quá tệ còn lại những cái tính_năng khác thì ok nếu camera mà rõ hơn xí nữa thì quá tuyệt,{CAMERA#Negative};{GENERAL#Positive};,0,2,0,0,1,0,0,0,0,0
mua từ đợt em nó mới ra nói_chung độ hoàn_thiện thiết_kế và cảm_nhận khi dùng quá ổn quá tuyệt,{DESIGN#Positive};{GENERAL#Positive};,0,0,1,0,1,0,0,0,0,0
sản_phẩm quá tốt với tầm giá gần 7 triệu cấu_hình ổn máy mượt dùng cũng tạm được 5 sao,{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};,0,0,0,0,1,1,3,0,0,0
thật_sự mất niềm tin vào joy 3 quá mua được một tháng mà sạc pin toàn báo nóng máy nong kinh_khủng luôn chỉ sợ nổ mà chỉ sạc được hơn 70 là không sạc được nữa tắt nguồn sạc pin thì mới được chán hàng việt_nam quá,{BATTERY#Negative};{GENERAL#Negative};{SER&ACC#Negative};,2,0,0,0,2,0,0,0,2,0
mới mua chưa được nữa tháng mà lỗi rồi lỗi máy_ảnh thế_này có được bảo_hành hay là không vậy,{CAMERA#Negative};,0,2,0,0,0,0,0,0,0,0
máy mới mua về chơi game mượt nhưng sau tầm 1 tháng thì chơi game zingspeed mobile thì có tình_trạng tầm 5p là bị đơ màn_hình còn các game còn lại như pubg liên_quân thì bình_thường,{PERFORMANCE#Neutral};,0,0,0,0,0,3,0,0,0,0
mình gần mot năm tất_cả đều ok pin tốt sạc nhanh chơi game ổn không có gì phải chê cả,{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};,1,0,0,0,1,1,0,0,0,0
pin chờ tụt nhanh quá đổi 2 cái mà vẫn vâyh chắc tại dòng này pin nó như_vậy nên đổi f11 pro xài thử,{BATTERY#Negative};,2,0,0,0,0,0,0,0,0,0
mới mua mọi thứ tốt trừ camera camera siêu lồi lồi ra khoảng 2 mm với 4 camera sau cấu_hình khủng nhưng độ chi_tiết của ảnh thì không bằng con redmi note 4 cũ đã test thử thật hài_hước,{CAMERA#Negative};{DESIGN#Negative};{GENERAL#Positive};{OTHERS};,0,2,2,0,1,0,0,0,0,0
không sử_dụng mà pin tụt nhanh hơn cả khi sử dụng vân tay không nhạy cứ báo không khớp thua cả huawei,{FEATURES#Negative};{BATTERY#Negative};{SER&ACC#Negative};,2,0,0,2,0,0,0,0,2,0
khi lên mạng nặng hoặc quá lâu vẫn có hiện_tượng lag ngoài_ra không vấn_đề gì để phàn_nàn hết mình đang đợi ốp lưng nữa là ok,{PERFORMANCE#Negative};{GENERAL#Positive};{OTHERS};,0,0,0,0,1,2,0,0,0,0
máy khá là ok mua về được vài ngày pin khá khoẻ sạc nhanh chơi game rất mượt nhưng_mà nhận_diện khuôn_mặt không được nhạy lắm với_lại lúc mở âm_lượng hơi to tí thì lưng máy rung khá mạnh không biết có phải lỗi không,{FEATURES#Negative};{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};,1,0,0,2,1,1,0,0,0,0
mình mua chưa tới 1 tháng mà lúc_nào củng mất kết_nối 4g và mạng viettel họ gọi tới toàn cuộc_gọi thuê bao báo nhỡ vào mạng thì chận rỳ kỳ ghê,{FEATURES#Negative};,0,0,0,2,0,0,0,0,0,0
mới_đầu sử_dụng máy_ảnh khá ok nhứng sau 2 tháng mỗi khi phóng to lên x4 là nó thoát ra khỏi máy_ảnh,{CAMERA#Neutral};,0,3,0,0,0,0,0,0,0,0
máy chụp hình đẹp mỗi dung_lượng pin không thích xài rất nhanh hết pin 6h sáng sạc pin xài mới 15h đã còn 20 pin trong khi máy không xài liên_tục,{CAMERA#Positive};{BATTERY#Negative};,2,1,0,0,0,0,0,0,0,0
không bán kèm phụ_tùng thay_thế chắc tôi đổi qua hàng khác quá camera thì tồi_tệ xài rất chán,{CAMERA#Negative};{GENERAL#Negative};{SER&ACC#Negative};,0,2,0,0,2,0,0,0,2,0
sao đang chơi game tự_nhiên máy kêt nối lại internet măt dù mạng rất mạnh còn lúc mạng yếu thì lại hi bị là sao vây ạ sad _ but _ relieved _ face,{FEATURES#Negative};,0,0,0,2,0,0,0,0,0,0
em mua được nữa tháng lướt cũng mượt pin cũng trâu sạc nhanh nhưng không hiểu sao xài được xí là máy nóng ngay phần trên của camera mua được nữa tháng tự tắt nguồn 2 lần cho em hỏi là do đâu vậy ạ,{FEATURES#Positive};{BATTERY#Positive};{PERFORMANCE#Negative};{OTHERS};,1,0,0,1,0,2,0,0,0,0
điện_thoại mới mua về khoảng 3 tháng thì bị lỗi camera không bậc đèn_pin được mong chỉ cho em lỗi khắc_phục,{CAMERA#Negative};,0,2,0,0,0,0,0,0,0,0
mua được 5 tháng rồi máy đánh_rơi như bổ_củi vẫn chạy ngon rất mượt_mà đáng đồng_tiền_bát_gạo nhưng khuyên mọi người nên chọn máy màu đen nhé nhân_viên bán hàng thì khỏi nói cho 5 sao luôn,{PERFORMANCE#Positive};{DESIGN#Positive};{PRICE#Positive};{SER&ACC#Positive};{OTHERS};,0,0,1,0,0,1,1,0,1,0
khi không dùng thì lâu_lâu sẽ có hiện_tượng tự_động mở bằng vân tay nhưng hiện lên_đồng chữ vân tay không khớp vì mình đâu có mở điện_thoại điện_thoại tự mở rồi tự không khớp về âm_thanh âm_thanh nhạc chuông tỉ_lệ_nghịch với media nhạc chuông thì chỉ cần mức 2 là đã to có_thể đủ nghe còn khi mở media thì phải mở ở mức cao nhất mới có_thể nghe rõ,{FEATURES#Negative};{OTHERS};,0,0,0,2,0,0,0,0,0,0
xài được 1 tháng máy mạnh pin trâu không thấy lỗi gì nhưng có 1 bất_tiện là máy không có ghi_âm cuộc_gọi,{FEATURES#Negative};{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};,1,0,0,2,1,1,0,0,0,0
máy điện_thoại sam sung a31 ngon mỗi là cảm_biến vân tay hơi kén_chọn bẩn tý là không nhận_dạng đc mọi thứ đều tốt nhân_viên ở vĩnh_yên vĩnh_phúc nhiệt_tình,{FEATURES#Negative};{GENERAL#Positive};{SER&ACC#Positive};,0,0,0,2,1,0,0,0,1,0
mọi thứ đều rất ổn ngoại_trừ vân tay được 1đ giống như thời mà điện_thoại hàng lậu giả mở khoá bằng vân tay vậy đùa chứ mở mãi vân tay không được ấy pin bình_thường,{FEATURES#Negative};{BATTERY#Neutral};{GENERAL#Positive};,3,0,0,2,1,0,0,0,0,0
mình mới mua hôm_nay thật_tình mà nói đó khá thất_vọng máy bắt wifi rất yếu thậm_chí bật 4g cũng muốn không nổi tải ứng_dụng trên ch play gần 30p chưa tải đc màn_hình cảm_ứng không nhậy so với con nova 3i rất kém xa đây là ý_kiến sau khi mua về nhà sau hơn 1h của mình xin cảm_ơn,{FEATURES#Negative};{GENERAL#Negative};{OTHERS};,0,0,0,2,2,0,0,0,0,0
sản_phẩm tốt nhân_viên nhiệt_tình cửa_hàng sạch_sẽ đảm_bảo chất_lượng tốt rất cảm_ơn thế_giới di_động,{GENERAL#Positive};{SER&ACC#Positive};,0,0,0,0,1,0,0,0,1,0
máy xài êm chạy mượt pin trâu đáng đồng_tiền chơi pubg hoặc liên_quân thì ok mới mua sáng nay nếu ai còn băn khoăng thì hãy mua đi không uổng tiền đâu nhân_viên nhiệt_tình vui_vẻ sẽ mua đồ ở điện_máy xanh dài_dài,{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Positive};{GENERAL#Positive};{SER&ACC#Positive};,1,0,0,0,1,1,1,0,1,0
điện_thoại bị tụt pin nhanh lắm tắt mạng không sử_dụng vẫn xuống pin thất_vọng mới mua có_thể đổi lại không,{BATTERY#Negative};{OTHERS};,2,0,0,0,0,0,0,0,0,0
máy tốt chơi game mượt máy_ảnh chụp cũng tạm mới dùng được 1 ngày nên chưa biết lâu_dài sẽ thế_nào nhưng pin hơi tuột nhanh tầm giá này thì không đòi_hỏi gì nhiều nhân_viên tư_vấn nhiệt_tình,{CAMERA#Positive};{BATTERY#Negative};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};{SER&ACC#Positive};,2,1,0,0,1,1,3,0,1,0
mua được mấy ngày chơi game mướt sạc rất nhanh chỉ có vân tay không nhạy lắm nói_chung là ổn,{FEATURES#Negative};{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};,1,0,0,2,1,1,0,0,0,0
có ai giống mình không xm bản tin trong facebook bị như thế_này dùng rất khó_chịu có ai biết cách khắc_phục không vậy,{PERFORMANCE#Negative};,0,0,0,0,0,2,0,0,0,0
mua được hơn tuần dùng được tầm 7 9 h tối_om mà vẫn mở khoá khuân mặt được chán cái call vidoe mờ tịt mua được 2 hôm giảm 4tr2 xót tiền,{CAMERA#Negative};{FEATURES#Positive};{PRICE#Negative};,0,2,0,1,0,0,2,0,0,0
tôi đã mua f11 sử_dụng tư t42019 đến t22020 thì đổi mua a92020 xài và so_sánh lại thì máy nhận wifi kém cảm_ứng không nhạy không lướt và tệ hơn f11 xa pensive _ face pensive _ face,{FEATURES#Negative};{OTHERS};,0,0,0,2,0,0,0,0,0,0
hàng quá tệ khong như gioi thiệu chớ dại mua chỉ đi bảo hàng mà mêt thụi xin hay tư_vấn cho người mua đúng,{GENERAL#Negative};{SER&ACC#Negative};,0,0,0,0,2,0,0,0,2,0
chơi game ít lác pin trâu camera chụp hình đẹp nhân_viên tư_vấn tận_tình sẽ còn ủng_hộ thế_giới di_động nhiều,{CAMERA#Positive};{BATTERY#Positive};{PERFORMANCE#Neutral};{SER&ACC#Positive};,1,1,0,0,0,3,0,0,1,0
máy xài rất ok chụp hình rất đẹp truy_cập web nhanh camera kép chụp hình xoá phông chuẩn,{CAMERA#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};,0,1,0,0,1,1,0,0,0,0
tôi rất hài_lòng về sản_phẩm nhưng sao pin tuột nhanh vậy ạ lại còn sạc lâu hích,{BATTERY#Negative};{GENERAL#Positive};,2,0,0,0,1,0,0,0,0,0
mình mua con này chưa được 1 tháng dùng thấy cũng ok lướt mượt đa_nhiệm tốt chơi liên_quân không giật lag nhưng sao pin 4000 mà dùng chưa được 1 ngày đã hết rùi mà máy dùng 1 lúc là bị nóng phần lưng cạnh bộ camera là sao vậy ad,{FEATURES#Positive};{BATTERY#Negative};{PERFORMANCE#Neutral};{GENERAL#Positive};,2,0,0,1,1,3,0,0,0,0
tai nghe vủa hãng khá hay,{SER&ACC#Positive};,0,0,0,0,0,0,0,0,1,0
dùng điện_thoại oppo f7 quay sắc nét màu_sắc trung_thực đáng_lý ra điện_thoại mới ra_mắt se quay đẹp nhưng hình_ảnh chụp kể_cả quay_phim đều thua xa màu cứ ám đen_đỏ rất kỳ rất thấy vọng thua cả điện_thoại oppo f 7,{CAMERA#Negative};,0,2,0,0,0,0,0,0,0,0
máy mới mua được tầm 2 tuần xài bắt_đầu lag kinh_khủng kéo không mượt nữa mà kiểu rít rít chậm đã vậy còn lâu_lâu tự_nhiên bị đứng xong văng ra khi đang sd máy mình chủ_yếu chỉ facebook zalo với xài mấy app nhỏ chẳng có 1 cái game nào thất_vọng tràn_trề báo là đổi máy khi có lỗi đem ra thì lại bảo để gửi lên hãng kiểm_tra lỗi vài ngày thua,{FEATURES#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};{SER&ACC#Negative};,0,0,0,2,2,2,0,0,2,0
máy ổn lq mượt mọi thứ đều ổn có wifi 4g bắt sóng hơi yếu tí tóm_lại tốt trong tầm giá,{FEATURES#Negative};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};,0,0,0,2,1,1,3,0,0,0
sản_phẩm quá tốt cho dân_cày game đồ_hoạ cấu_hình rất ok chơi game lâu không nóng máy nha nhân_viên thế_giới di_động tư_vấn nhiệt_tình dễ_thương nữa chớ,{PERFORMANCE#Positive};{GENERAL#Positive};{SER&ACC#Positive};,0,0,0,0,1,1,0,0,1,0
mua 2 máy chất_lượng tốt tuy_nhiên nhân_viên giao hàng lần thứ hai không nhiệt_tình lắm smiling _ face _ with _ open _ hands smiling _ face _ with _ open _ hands tuy_nhiên mua máy rất ưng nên sẽ ủng_hộ thế_giới di_động dài_dài kissing _ face _ with _ closed _ eyes kissing _ face _ with _ closed _ eyes,{GENERAL#Positive};{SER&ACC#Negative};,0,0,0,0,1,0,0,0,2,0
con thứ 2 mua cho vợ chụp cam sau thì tuyệt_vời ai hdr điện_thoại màu đỏ thì đẹp lung_linh sang chảnh pin khá cho 1 ngày sử_dụng,{CAMERA#Positive};{BATTERY#Positive};{DESIGN#Positive};,1,1,1,0,0,0,0,0,0,0
mình mới mua máy được 1 tháng tất_cả đều ok có_điều pin nhanh hết quá mong sớm được hỗ_trợ,{BATTERY#Negative};{GENERAL#Positive};{OTHERS};,2,0,0,0,1,0,0,0,0,0
máy tốt nhưng em hơi thắc_mắc tại sai giác cắn tai nghe em cắm vô thì tiếng nghe không rõ khúc mất khúc nghe cho em tại_sao vậy ạ thinking _ face thinking _ face thinking _ face,{FEATURES#Negative};,0,0,0,2,0,0,0,0,0,0
